base_coin,period,volatility,timestamp
BTC,30,0.50576655,2025-01-17 08:00:00
BTC,30,0.50622677,2025-01-17 09:00:00
BTC,30,0.50602796,2025-01-17 10:00:00
BTC,30,0.50602311,2025-01-17 11:00:00
BTC,30,0.50601775,2025-01-17 12:00:00
BTC,30,0.50621538,2025-01-17 13:00:00
BTC,30,0.50596317,2025-01-17 14:00:00
BTC,30,0.50677261,2025-01-17 15:00:00
BTC,30,0.50718965,2025-01-17 16:00:00
BTC,30,0.50803804,2025-01-17 17:00:00
BTC,30,0.50884001,2025-01-17 18:00:00
BTC,30,0.50492902,2025-01-17 19:00:00
BTC,30,0.50154768,2025-01-17 20:00:00
BTC,30,0.503049,2025-01-17 21:00:00
BTC,30,0.50302688,2025-01-17 22:00:00
BTC,30,0.50195977,2025-01-17 23:00:00
BTC,30,0.50166699,2025-01-18 00:00:00
BTC,30,0.5006848,2025-01-18 01:00:00
BTC,30,0.50020463,2025-01-18 02:00:00
BTC,30,0.4996635,2025-01-18 03:00:00
BTC,30,0.50004209,2025-01-18 04:00:00
BTC,30,0.4995788,2025-01-18 05:00:00
BTC,30,0.50021997,2025-01-18 06:00:00
BTC,30,0.50035973,2025-01-18 07:00:00
BTC,30,0.50081058,2025-01-18 08:00:00
BTC,30,0.5010165,2025-01-18 09:00:00
BTC,30,0.50057466,2025-01-18 10:00:00
BTC,30,0.50057453,2025-01-18 11:00:00
BTC,30,0.50052916,2025-01-18 12:00:00
BTC,30,0.50054898,2025-01-18 13:00:00
BTC,30,0.50031902,2025-01-18 14:00:00
BTC,30,0.50035538,2025-01-18 15:00:00
BTC,30,0.50070398,2025-01-18 16:00:00
BTC,30,0.49808824,2025-01-18 17:00:00
BTC,30,0.49842562,2025-01-18 18:00:00
BTC,30,0.49472306,2025-01-18 19:00:00
BTC,30,0.4938848,2025-01-18 20:00:00
BTC,30,0.49258295,2025-01-18 21:00:00
BTC,30,0.4914201,2025-01-18 22:00:00
BTC,30,0.49051419,2025-01-18 23:00:00
BTC,30,0.49049933,2025-01-19 00:00:00
BTC,30,0.48950579,2025-01-19 01:00:00
BTC,30,0.48737489,2025-01-19 02:00:00
BTC,30,0.4872056,2025-01-19 03:00:00
BTC,30,0.48716652,2025-01-19 04:00:00
BTC,30,0.48672553,2025-01-19 05:00:00
BTC,30,0.48636142,2025-01-19 06:00:00
BTC,30,0.48621741,2025-01-19 07:00:00
BTC,30,0.47911015,2025-01-19 08:00:00
BTC,30,0.47909233,2025-01-19 09:00:00
BTC,30,0.47962552,2025-01-19 10:00:00
BTC,30,0.47590888,2025-01-19 11:00:00
BTC,30,0.47390784,2025-01-19 12:00:00
BTC,30,0.47190058,2025-01-19 13:00:00
BTC,30,0.47166272,2025-01-19 14:00:00
BTC,30,0.46900229,2025-01-19 15:00:00
BTC,30,0.46897729,2025-01-19 16:00:00
BTC,30,0.46865319,2025-01-19 17:00:00
BTC,30,0.46861825,2025-01-19 18:00:00
BTC,30,0.46861184,2025-01-19 19:00:00
BTC,30,0.46947135,2025-01-19 20:00:00
BTC,30,0.46944375,2025-01-19 21:00:00
BTC,30,0.4764721,2025-01-19 22:00:00
BTC,30,0.47639271,2025-01-19 23:00:00
BTC,30,0.48174133,2025-01-20 00:00:00
BTC,30,0.48452866,2025-01-20 01:00:00
BTC,30,0.48552809,2025-01-20 02:00:00
BTC,30,0.48745492,2025-01-20 03:00:00
BTC,30,0.48744625,2025-01-20 04:00:00
